,City Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
372,Dubbo,AU,-32.25,148.6,5.0,86,0,3.56,1526158800
373,Rocha,UY,-34.48,-54.34,13.6,76,0,5.01,1526160024
374,Sungaipenuh,ID,-2.08,101.38,19.15,96,68,0.26,1526160025
375,Primorsk,RU,60.37,28.62,10.88,68,20,0.06,1526160025
376,Shagonar,RU,51.54,92.92,5.4,93,36,1.76,1526160025
377,Tommot,RU,58.97,126.27,-4.0,50,0,2.11,1526160026
378,Kenai,US,60.55,-151.26,9.51,66,90,4.6,1526158560
379,Kupang,ID,-10.16,123.6,27.18,85,0,7.91,1526160026
380,Batsfjord,NO,70.63,29.72,6.75,90,8,2.41,1526160026
381,Hays,US,38.88,-99.33,18.9,64,20,6.2,1526158560
382,Socorro,PH,13.06,121.41,23.6,100,76,0.96,1526160027
383,Edendale,ZA,-29.65,30.31,12.43,98,92,1.06,1526160028
384,Road Town,VG,18.42,-64.62,28.0,65,40,4.6,1526158800
385,Grindavik,IS,63.84,-22.43,9.05,87,75,3.6,1526158800
386,Sandwick,GB,54.57,-2.89,9.0,87,80,2.1,1526158200
387,Sinnai,IT,39.3,9.2,16.67,93,20,2.1,1526158500
388,Port Huron,US,42.98,-82.44,11.14,47,1,2.6,1526159760
389,Misratah,LY,32.38,15.09,17.25,97,0,3.11,1526160030
390,Port Hardy,CA,50.7,-127.42,13.0,82,20,4.6,1526155200
391,Trinidad,UY,-33.52,-56.9,18.0,72,0,1.51,1526158800
392,Krokeai,GR,36.88,22.55,17.0,88,40,3.51,1526158200
393,Sabang,PH,13.72,123.58,24.48,99,0,1.41,1526160031
394,Lompoc,US,34.64,-120.46,20.32,49,1,4.6,1526158680
395,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,18.88,82,0,2.11,1526160032
396,Vanimo,PG,-2.67,141.3,27.65,100,68,3.01,1526160032
397,Pevek,RU,69.7,170.27,-9.88,96,12,2.96,1526160033
398,Komsomolskiy,RU,67.55,63.78,-5.78,90,88,5.71,1526160033
399,Hohhot,CN,40.81,111.65,9.0,70,0,2.0,1526155200
400,Severo-Kurilsk,RU,50.68,156.12,2.98,96,0,2.51,1526160034
401,Narsaq,GL,60.91,-46.05,1.0,86,90,7.7,1526158200
402,Patti,IT,38.14,14.96,19.0,82,20,1.0,1526158500
403,Oudtshoorn,ZA,-33.59,22.2,12.0,93,0,1.5,1526155200
404,Adrar,DZ,27.87,-0.29,31.0,21,0,2.6,1526158800
405,Artyom,RU,43.36,132.19,11.0,93,75,2.0,1526157000
406,Astolfo Dutra,BR,-21.31,-42.86,22.93,77,8,0.96,1526160037
407,Santo Tomas,PH,17.4,121.77,22.23,100,64,1.11,1526160037
408,Havoysund,NO,71.0,24.66,6.0,96,8,2.6,1526158200
409,Tiquicheo,MX,18.9,-100.74,30.33,45,8,1.91,1526160038
410,Midleton,IE,51.91,-8.17,7.0,87,40,2.6,1526158800
411,Geraldton,CA,49.72,-86.95,17.0,14,40,4.1,1526155200
412,Vulcan,CA,50.4,-113.26,19.65,62,0,3.11,1526160040
413,Galesong,ID,-5.32,119.37,25.0,94,20,1.5,1526158800
414,Laguna,MX,27.52,-110.01,32.0,38,20,5.7,1526157600
415,Westport,IE,53.8,-9.52,6.0,81,40,2.6,1526157000
416,Tazovskiy,RU,67.47,78.7,-12.88,79,44,3.96,1526160041
417,Bukama,CD,-9.2,25.85,23.6,71,24,1.66,1526160042
418,Rawson,AR,-43.3,-65.11,10.93,60,68,2.46,1526160042
419,Upington,ZA,-28.46,21.24,10.0,66,0,2.1,1526155200
420,Stepnogorsk,KZ,52.35,71.88,3.6,86,36,5.91,1526160043
421,Madimba,CM,4.42,9.93,27.0,83,40,2.6,1526155200
422,Valley City,US,46.92,-98.0,16.94,36,1,4.1,1526158500
423,Marawi,PH,8.0,124.29,20.13,96,80,0.21,1526160044
424,Auburn Hills,US,39.8,-75.69,20.52,69,1,4.1,1526158680
425,Homer,US,59.64,-151.54,7.48,65,90,4.1,1526158380
426,Gewane,ET,10.16,40.66,24.53,41,0,2.41,1526160045
427,Aksarka,RU,66.56,67.8,-10.03,75,48,3.41,1526160045
428,Murwillumbah,AU,-28.33,153.4,12.0,76,0,0.5,1526158800
429,Rhyl,GB,53.32,-3.49,10.69,71,20,2.1,1526158200
430,Bowen,AU,-20.01,148.25,9.0,100,36,1.5,1526155200
431,Koygorodok,RU,60.44,51.01,6.18,53,0,2.11,1526160047
432,Hami,CN,42.84,93.51,17.33,40,0,2.41,1526160047
433,Abu Kamal,SY,34.45,40.92,14.9,80,20,1.11,1526160048
434,Yumen,CN,40.29,97.04,9.03,40,0,1.16,1526160048
435,Beruwala,LK,6.48,79.98,25.58,100,92,2.56,1526160048
436,Igarka,RU,67.47,86.57,-7.28,92,76,5.21,1526160049
437,Kattivakkam,IN,13.22,80.32,30.0,84,20,3.6,1526158800
438,Neepawa,CA,50.23,-99.46,19.0,25,20,5.7,1526155200
439,Derzhavinsk,KZ,51.1,66.31,9.73,60,20,5.71,1526160050
440,Champerico,MX,16.38,-93.6,36.0,32,20,4.1,1526157780
441,Morada Nova,BR,-5.1,-38.37,24.38,93,56,1.76,1526160051
442,Saurimo,AO,-9.66,20.4,19.48,88,20,0.96,1526160052
443,Nouakchott,MR,18.08,-15.98,19.23,97,0,5.66,1526160052
444,Shingu,JP,33.72,135.99,18.25,100,92,3.21,1526160053
445,Hinton,CA,53.4,-117.57,19.25,32,0,2.31,1526160053
446,Yeppoon,AU,-23.13,150.74,9.0,76,12,3.91,1526158800
447,Basco,US,40.33,-91.2,19.2,77,90,2.6,1526158500
448,Codrington,AU,-28.95,153.24,9.18,80,0,1.71,1526160055
449,Congonhas,BR,-20.5,-43.86,21.03,55,20,1.71,1526159902
450,Kasongo-Lunda,CD,-6.48,16.82,20.75,97,0,1.06,1526160056
451,Kharan,PK,28.58,65.42,17.93,32,12,1.76,1526160056
452,Los Llanos de Aridane,ES,28.66,-17.92,20.0,64,75,8.7,1526158800
453,Buffalo,US,42.89,-78.88,12.84,100,90,1.61,1526157660
454,Starkville,US,33.45,-88.82,31.0,33,1,3.1,1526159700
455,Hay River,CA,60.82,-115.79,15.0,38,75,8.2,1526155200
456,Kiunga,PG,-6.12,141.3,22.13,99,92,0.96,1526160058
457,Tautira,PF,-17.73,-149.15,30.0,66,40,5.7,1526158800
458,Qeshm,IR,26.96,56.27,28.42,50,0,3.1,1526157000
459,Jardim,BR,-21.48,-56.15,21.88,69,0,1.36,1526160060
460,Pisco,PE,-13.71,-76.2,20.0,82,0,6.2,1526158800
461,Port Hedland,AU,-20.31,118.58,19.0,24,20,4.6,1526158800
462,Camacupa,AO,-12.02,17.48,18.68,76,56,1.21,1526160061
463,Cockburn Town,TC,21.46,-71.14,26.33,97,80,8.51,1526159927
464,Zhigansk,RU,66.77,123.37,-4.28,80,24,3.26,1526160061
465,Tarauaca,BR,-8.16,-70.77,27.48,80,44,2.41,1526160062
466,Vaitape,PF,-16.52,-151.75,27.5,100,88,7.66,1526160062
467,Nchelenge,ZM,-9.35,28.74,20.5,60,0,1.81,1526160062
468,Udachnyy,RU,66.42,112.4,-9.6,79,56,1.41,1526160063
469,Alyangula,AU,-13.85,136.42,26.15,99,20,10.21,1526160064
470,Singapore,MY,1.29,103.85,27.14,94,40,1.0,1526158800
471,Ayton,CA,44.05,-80.93,16.58,58,0,2.96,1526160064
472,Renfrew,GB,55.88,-4.39,9.9,62,80,2.1,1526158200
473,Kaitangata,NZ,-46.28,169.85,0.03,69,0,0.86,1526160066
474,Correntina,BR,-13.34,-44.63,26.9,47,8,1.81,1526160066
475,Broome,GB,52.47,1.45,11.81,93,40,3.1,1526158560
476,Hirara,JP,24.8,125.28,24.18,100,0,3.16,1526160067
477,Oistins,BB,13.07,-59.53,27.0,74,20,10.3,1526158800
478,Lerik,AZ,38.78,48.42,10.21,100,40,0.31,1526158800
479,Hauterive,FR,46.09,3.45,9.0,87,68,2.1,1526158800
480,Mingyue,CN,43.11,128.91,6.48,85,0,1.06,1526160069
481,Muros,ES,42.77,-9.06,8.0,81,20,1.0,1526158800
482,Lida,BY,53.9,25.3,13.53,55,0,3.66,1526160070
483,Warragul,AU,-38.16,145.93,9.1,91,32,1.16,1526160070
484,Pimenta Bueno,BR,-11.68,-61.19,29.08,67,0,1.11,1526160071
485,Bocaiuva,BR,-17.12,-43.81,22.6,58,12,1.16,1526160071
486,Saint-Joseph,FR,43.56,6.97,16.66,77,0,1.5,1526158800
487,Eyl,SO,7.98,49.82,26.48,95,0,3.11,1526160072
488,Belaya Gora,RU,68.54,146.19,-7.38,93,0,3.76,1526160072
489,Suzhou,CN,33.65,116.96,16.18,89,0,3.91,1526160073
490,Lata,IN,30.78,78.62,12.18,81,92,1.01,1526160073
491,Kalengwa,ZM,-13.47,25.0,17.75,75,0,1.76,1526160074
492,Palaikastron,GR,35.2,26.25,19.78,96,0,11.06,1526160074
493,Cassilandia,BR,-19.11,-51.73,24.18,71,0,1.26,1526160075
494,Praia da Vitoria,PT,38.73,-27.07,16.0,72,75,2.96,1526158800
495,Omboue,GA,-1.57,9.26,26.03,100,88,3.26,1526160076
496,Dreux,FR,48.74,1.37,9.76,93,90,3.6,1526158800
497,Xique-Xique,BR,-10.82,-42.73,28.35,56,24,2.06,1526160077
498,Guarapari,BR,-20.67,-40.5,27.0,65,0,4.6,1526158800
499,Valleyview,CA,55.07,-117.28,22.33,30,8,6.71,1526160078
500,Kilinochchi,LK,9.4,80.4,26.85,100,12,6.26,1526160078
501,Ilulissat,GL,69.22,-51.1,1.0,86,92,2.1,1526158200
502,Norman Wells,CA,65.28,-126.83,16.0,31,75,10.3,1526155200
503,Shahr-e Babak,IR,30.12,55.12,11.4,45,12,3.71,1526160079
504,Ulaangom,MN,49.98,92.07,7.18,55,48,1.21,1526160080
505,Batagay,RU,67.65,134.64,-4.1,80,56,2.51,1526160080
506,Osvaldo Cruz,BR,-21.8,-50.88,25.13,55,8,3.11,1526160080
507,Kungurtug,RU,50.6,97.53,4.48,100,92,2.56,1526160081
508,Samarai,PG,-10.62,150.67,26.15,100,80,3.81,1526160081
509,Mujiayingzi,CN,42.12,118.78,8.75,92,0,1.41,1526160081
510,Lakatoro,VU,-16.11,167.42,25.6,91,8,3.66,1526160082
511,Souillac,FR,45.6,-0.6,9.55,87,0,1.5,1526158800
512,Soria,ES,41.76,-2.46,3.08,68,36,4.36,1526160083
513,Orange Walk,JM,17.93,-76.27,30.0,70,20,10.3,1526158800
514,Berlevag,NO,70.86,29.09,1.63,95,0,1.16,1526160084
515,Sehithwa,BW,-20.47,22.7,17.13,52,0,3.31,1526160085
516,Carbonia,IT,39.17,8.53,16.52,93,0,2.1,1526158500
517,Vyartsilya,RU,62.18,30.69,12.5,75,32,1.26,1526160086
518,Capitan Bado,PY,-23.27,-55.53,20.1,74,0,1.16,1526160086
519,Pacific Grove,US,36.62,-121.92,18.24,59,90,3.1,1526158860
520,Porosozero,RU,62.72,32.71,8.73,73,0,0.76,1526160087
521,Martapura,ID,-3.41,114.85,26.53,93,68,2.31,1526160088
522,Narrabri,AU,-30.33,149.78,3.03,87,0,1.76,1526160088
523,Husavik,CA,50.56,-96.99,16.28,59,0,4.66,1526160089
524,Roald,NO,62.58,6.12,8.86,100,20,1.5,1526158200
525,Libertador General San Martin,AR,-23.81,-64.79,20.0,68,75,2.1,1526158800
526,Rafaela,AR,-31.25,-61.49,18.23,82,0,1.51,1526160089
527,Perth,GB,56.4,-3.43,8.96,81,0,3.1,1526158200
528,Salinas,US,36.67,-121.66,18.24,55,1,7.7,1526158860
529,Muravlenko,RU,63.79,74.5,-1.93,95,76,5.66,1526160090
530,Cururupu,BR,-1.82,-44.87,26.48,87,68,2.56,1526160091
531,San Ignacio,CL,-36.8,-72.03,18.0,63,0,0.5,1526158800
532,Carutapera,BR,-1.2,-46.02,26.28,90,48,2.56,1526160093
533,Dunedin,NZ,-45.87,170.5,0.28,86,20,1.21,1526159862
534,Touros,BR,-5.2,-35.46,26.93,84,48,5.21,1526160093
535,Mangit,UZ,40.6,70.96,20.0,52,24,3.1,1526157000
536,Savonlinna,FI,61.87,28.88,10.0,76,0,0.86,1526158200
537,Muisne,EC,0.61,-80.02,25.35,95,88,2.16,1526160094
538,Fastiv,UA,50.08,29.92,14.52,76,40,2.0,1526157000
539,Coron,FR,47.13,-0.65,9.0,93,75,2.6,1526158800
540,Ikalamavony,MG,-21.17,46.6,11.33,91,32,1.11,1526160095
541,Bela,PK,26.23,66.31,24.25,43,0,2.31,1526160095
542,Barreirinhas,BR,-2.75,-42.83,23.1,99,92,3.01,1526160096
543,Kazerun,IR,29.62,51.65,15.58,58,0,0.96,1526160096
544,Cairns,AU,-16.92,145.77,22.0,68,20,5.1,1526158800
545,Baherden,TM,38.44,57.43,16.6,93,80,1.56,1526160096
546,Mareeba,AU,-16.99,145.42,22.0,68,20,5.1,1526158800
547,Sept-Iles,CA,50.2,-66.38,5.0,56,20,7.7,1526155200
548,Marsh Harbour,BS,26.54,-77.06,24.33,100,92,2.96,1526160098
549,Zigong,CN,29.34,104.78,16.73,80,36,1.41,1526160098
550,Pindwara,IN,24.79,73.05,24.1,57,32,1.76,1526160098
551,Tapejara,BR,-23.73,-52.87,20.08,62,0,2.71,1526160099
552,Nampula,MZ,-15.12,39.26,22.0,94,0,1.11,1526155200
553,Komsomolets,RU,52.77,41.29,7.6,84,0,1.41,1526160099
554,Magadan,RU,59.56,150.8,2.0,59,0,3.0,1526155200
555,Belmonte,PT,40.36,-7.35,7.43,61,0,3.71,1526160100
556,Buchanan,LR,5.88,-10.05,27.0,83,20,2.1,1526155200
557,Wembley,GB,51.55,-0.3,10.0,93,92,2.1,1526158200
558,Mwinilunga,ZM,-11.73,24.43,17.18,82,0,1.01,1526160102
559,Gizo,IL,31.8,34.94,20.68,77,20,2.6,1526158200
560,Concordia,AR,-31.4,-58.02,21.0,60,20,2.1,1526155200
561,Palmer,AU,-34.85,139.16,13.0,82,40,3.6,1526158800
562,Manadhoo,MV,5.77,73.38,28.23,100,64,6.36,1526160104
563,Sosnovo-Ozerskoye,RU,52.53,111.54,4.48,85,8,3.01,1526160104
564,Ketchikan,US,55.34,-131.65,13.15,76,90,3.6,1526158380
565,Great Falls,US,47.5,-111.29,9.86,57,40,2.1,1526156880
566,Tianpeng,CN,28.88,112.34,18.23,99,44,1.31,1526160105
567,Ingham,AU,-18.65,146.16,18.65,100,0,5.36,1526160105
568,Zaykovo,RU,57.56,62.76,0.48,54,0,3.46,1526160106
569,Uberaba,BR,-19.75,-47.94,25.63,55,44,1.46,1526160106
570,Pochutla,MX,15.74,-96.47,30.9,98,40,5.1,1526157900
571,Veinticinco de Mayo,AR,-27.38,-54.75,18.18,77,0,1.26,1526160107
572,Balkanabat,TM,39.51,54.36,17.23,60,0,0.91,1526160107
573,Kilis,TR,36.72,37.12,14.0,93,75,3.46,1526158200
574,Cabedelo,BR,-6.97,-34.84,25.0,88,0,3.6,1526158800
575,Florence,US,34.8,-87.68,31.22,29,1,2.1,1526158560
576,Puerto Colombia,CO,10.99,-74.96,31.0,70,75,4.1,1526158800
577,Pangnirtung,CA,66.15,-65.72,-5.63,90,80,2.21,1526160109
578,Ilo,PE,-17.65,-71.34,20.0,79,0,1.61,1526160109
579,Richards Bay,ZA,-28.77,32.06,19.98,84,76,4.76,1526160110
580,Kisangani,CD,0.52,25.21,22.58,97,0,1.16,1526160110
581,Kindu,CD,-2.95,25.92,22.88,92,24,0.61,1526160110
582,Sobolevo,RU,54.43,31.9,18.98,37,68,6.41,1526160111
583,Jijiga,ET,9.35,42.8,13.68,80,0,1.11,1526160111
584,Taluya,PH,5.81,125.18,22.48,97,24,1.11,1526160112
585,Manggar,ID,-2.88,108.27,27.08,90,24,3.66,1526160112
586,Palana,RU,59.08,159.95,2.5,78,24,1.66,1526160112
587,Linxia,CN,35.6,103.21,0.6,62,0,1.16,1526160113
588,Oktyabrskoye,RU,56.73,85.44,5.58,98,88,1.66,1526160114
589,Charlestown,US,41.38,-71.64,12.0,87,90,3.6,1526158800
590,Taikang,CN,46.86,124.44,7.93,67,0,3.91,1526160114
591,Namatanai,PG,-3.66,152.44,26.33,100,56,1.81,1526160115
592,Bara,NG,10.41,10.6,26.08,69,24,4.56,1526160115
593,Itarema,BR,-2.92,-39.92,26.03,92,80,3.76,1526160116
594,Adre,TD,13.47,22.2,24.78,35,8,3.06,1526160116
595,Maku,IR,39.29,44.45,12.0,71,75,0.96,1526154600
596,Vagur,FO,61.47,-6.81,8.13,98,8,6.01,1526160117
597,Kichmengskiy Gorodok,RU,59.99,45.81,8.93,81,0,1.11,1526160118
598,Srednekolymsk,RU,67.46,153.71,-1.25,82,0,0.71,1526160118
599,Milkovo,BG,41.53,24.68,16.21,100,76,1.5,1526158800
600,Firovo,RU,57.48,33.7,14.38,40,8,3.81,1526160119
601,Waterloo,CA,43.47,-80.52,13.82,44,1,1.0,1526155200
602,Vardo,US,39.62,-77.74,32.19,48,75,4.1,1526158500
603,Urambo,TZ,-5.07,32.07,23.18,66,56,1.51,1526160120
604,Nhulunbuy,AU,-12.18,136.78,26.0,61,40,6.7,1526158800
605,Diego de Almagro,CL,-26.39,-70.05,18.65,74,0,1.51,1526160120
606,Havelock,US,34.88,-76.9,29.19,28,5,4.6,1526158680
607,Puerto Leguizamo,CO,-0.19,-74.78,24.18,94,92,1.66,1526160121
608,Pakokku,MM,21.33,95.09,20.25,99,80,1.46,1526160122
609,Katobu,ID,-4.94,122.53,24.88,100,80,1.36,1526160122
610,Kingman,US,35.19,-114.05,28.5,19,40,9.3,1526158560
611,Espoo,FI,60.22,24.66,9.0,70,0,0.5,1526158200
612,Ridgecrest,US,35.62,-117.67,26.0,14,1,4.6,1526158560
613,Alugan,PH,12.22,125.48,24.73,100,64,1.91,1526160124
614,Mattru,SL,7.62,-11.83,27.18,76,68,2.81,1526160124
615,Araxa,BR,-19.59,-46.94,22.68,52,24,1.86,1526160006
616,Fort Frances,CA,48.61,-93.4,20.0,20,1,2.1,1526158500
617,Zapolyarnyy,RU,69.43,30.82,6.0,81,8,2.6,1526158200
618,Visby,SE,57.64,18.3,11.0,76,0,3.6,1526158200
619,Cedar City,US,37.68,-113.06,18.0,18,1,3.6,1526158380
620,Seoul,KR,37.57,126.98,13.19,100,90,0.5,1526158680
621,Hermon,GB,51.96,-4.61,8.0,81,0,3.6,1526158200
622,Sioux Lookout,CA,50.1,-91.92,17.63,23,20,2.6,1526155200
623,Humaita,AR,-24.93,-65.37,19.13,63,75,2.1,1526158800
624,Conneaut,US,41.95,-80.55,9.38,87,90,4.1,1526158260
625,Skorping,DK,56.84,9.89,10.98,60,0,3.31,1526160129
626,Shetpe,KZ,44.14,52.16,13.25,63,12,2.66,1526160129
627,Beaverlodge,CA,55.21,-119.43,22.0,24,75,8.2,1526155200
628,Gohad,IN,26.42,78.44,24.98,67,32,0.96,1526160130
629,Jaral del Progreso,MX,20.37,-101.06,28.0,28,75,1.5,1526157900
630,Kalemie,CD,-5.95,29.2,24.35,100,0,3.76,1526160131
631,Kalmunai,LK,7.42,81.82,22.93,100,20,1.21,1526160132
632,Juneau,US,58.3,-134.42,12.0,81,75,5.7,1526158560
633,Morros,BR,-2.87,-44.04,24.0,94,75,1.0,1526158800
634,Avera,US,33.19,-82.53,31.79,32,1,3.1,1526158500
635,The Valley,AI,18.22,-63.06,28.64,61,20,7.2,1526158800
636,Hwange,ZW,-18.35,26.5,16.75,39,0,3.11,1526160134
637,Tigil,RU,57.8,158.67,3.15,84,24,3.86,1526160134
638,Knysna,ZA,-34.04,23.05,12.0,93,0,1.5,1526155200
639,Tortoli,IT,39.93,9.66,17.0,88,40,1.91,1526158500
640,Ryki,PL,51.63,21.94,14.35,50,0,3.06,1526160136
641,Ixtapa,MX,20.71,-105.21,30.0,74,20,7.2,1526157780
642,Shaunavon,CA,49.65,-108.41,15.68,79,0,1.86,1526160137
643,Aranos,NA,-24.14,19.11,13.35,37,0,2.76,1526160137
644,Nova Varos,RS,43.46,19.82,11.0,100,20,3.6,1526158800
645,Tegh,AZ,39.56,46.48,5.73,98,92,1.06,1526160138
646,Solnechnyy,RU,50.72,136.64,15.98,38,20,2.86,1526160139
647,Vengerovo,RU,55.68,76.74,5.73,97,92,2.56,1526160139
648,San Andres,PH,13.32,122.68,27.68,100,32,2.06,1526159664
649,Beringovskiy,RU,63.05,179.32,-2.63,100,20,5.66,1526160139
650,Pfullingen,DE,48.47,9.23,18.38,52,0,0.5,1526158200
651,Fallon,US,46.84,-105.12,11.0,71,90,5.1,1526158560
652,Haapiti,PF,-17.57,-149.87,30.0,66,40,5.7,1526158800
653,Bogorodskoye,RU,52.37,140.44,4.38,78,0,1.31,1526160142
654,Mogwase,ZA,-25.28,27.22,13.15,39,0,2.46,1526160142
655,Pozo Colorado,PY,-23.49,-58.8,21.5,71,0,1.51,1526160143
656,Moerai,PF,-22.43,-151.33,22.38,100,100,9.11,1526160143
657,Khani,GE,41.96,42.96,14.0,87,90,2.1,1526157000
658,Salym,RU,60.06,71.48,2.23,77,0,4.66,1526160144
659,Axim,GH,4.87,-2.24,26.68,100,80,5.66,1526160144
660,Hualmay,PE,-11.1,-77.61,21.38,82,0,2.56,1526160144
661,Vaasa,FI,63.1,21.62,11.0,71,0,0.91,1526158200
662,Sangar,RU,63.92,127.47,-0.18,60,68,3.86,1526160145
663,Beeskow,DE,52.17,14.25,17.0,82,0,3.1,1526158200
664,Challans,FR,46.85,-1.88,8.01,93,24,3.1,1526158800
665,Presidente Dutra,BR,-11.3,-41.99,26.4,50,32,2.16,1526160146
666,Vrangel,RU,42.73,133.08,7.18,88,76,3.21,1526160147
667,Mapiripan,CO,2.89,-72.13,21.93,100,92,2.06,1526160147
668,Tuy Hoa,VN,13.08,109.3,24.18,99,8,1.31,1526160148
669,Togur,RU,58.36,82.83,3.85,72,36,4.01,1526160148
670,San Ramon,NI,12.92,-85.84,23.0,88,75,2.1,1526155200
671,San Juan,PH,14.6,121.03,27.0,94,20,2.1,1526155200
672,Lavumisa,ZA,-27.31,31.88,16.68,76,24,2.96,1526160150
673,Shar,NG,7.3,8.73,26.73,80,32,4.56,1526160151
674,Galeana,MX,24.83,-100.08,27.78,30,0,1.61,1526160151
675,Buala,SB,-8.15,159.59,27.98,88,92,2.11,1526160151
676,Botwood,CA,49.14,-55.34,8.0,33,40,8.7,1526155200
677,Nioki,CD,-2.72,17.69,23.88,92,32,1.16,1526160152
678,Mugumu,TZ,-1.84,34.67,15.43,98,24,1.36,1526160152
679,Warman,CA,52.32,-106.58,19.0,32,75,8.2,1526155200
680,Santa Rosa,AR,-36.62,-64.29,18.38,52,0,3.01,1526160154
681,Bertoua,CM,4.58,13.68,18.98,97,64,2.06,1526160155
682,Zhangye,CN,38.94,100.46,8.6,45,0,3.51,1526160155
683,Auki,NG,12.18,6.51,28.78,50,32,4.11,1526160156
684,Hovd,NO,63.83,10.7,11.92,67,0,1.0,1526158200
685,Nenjiang,CN,49.17,125.23,6.0,71,0,4.81,1526160156
686,Orlovskiy,RU,46.87,42.05,10.4,63,64,2.56,1526160156
687,Filingue,NE,14.35,3.32,31.78,21,20,4.76,1526160157
688,Ahipara,NZ,-35.17,173.16,17.38,100,92,4.36,1526160157
689,Kailua,US,21.39,-157.74,27.25,74,1,4.6,1526158620
690,Vanavara,RU,60.35,102.28,3.33,58,88,3.96,1526160158
691,Bainbridge,US,30.9,-84.58,35.0,34,1,2.1,1526158500
692,Jinchang,CN,38.52,102.19,5.6,49,0,1.16,1526160158
693,Pangkalanbuun,ID,-2.68,111.62,23.43,95,32,1.46,1526160159
694,Mongo,CF,4.83,22.92,23.08,92,64,1.21,1526160159
695,Ust-Tsilma,RU,65.44,52.15,1.73,90,92,1.31,1526160160
696,Petauke,ZM,-14.25,31.33,23.33,50,76,3.36,1526160160
697,Sao Gabriel da Cachoeira,BR,-0.13,-67.09,26.4,92,48,0.41,1526160048
698,Santa Cruz,US,36.97,-122.03,20.89,72,75,4.6,1526158860
699,Malartic,CA,48.14,-78.13,16.0,25,20,3.1,1526157720
700,Chulym,RU,55.09,80.97,1.13,84,8,1.96,1526160162
701,Gat,SN,14.69,-16.54,26.0,57,0,3.1,1526158800
702,Luena,AO,-11.78,19.91,18.33,78,24,1.16,1526160163
703,Miraflores,CO,5.2,-73.14,13.93,95,88,0.86,1526160164
704,Kampot,KH,10.62,104.18,22.83,98,56,1.31,1526160165
705,Biak,ID,-0.91,122.88,24.18,100,24,1.41,1526160165
706,Alvaraes,BR,-3.22,-64.8,32.0,62,40,1.5,1526158800
707,Elliot Lake,CA,46.37,-82.65,15.0,69,1,5.7,1526155200
708,Iralaya,HN,15.0,-83.23,32.0,59,20,3.1,1526158800
709,Teya,MX,21.05,-89.07,36.0,47,75,2.1,1526157900
710,El Doncello,CO,1.68,-75.28,22.58,93,92,0.86,1526160167
711,Kilcormac,IE,53.18,-7.73,8.4,68,8,3.26,1526160167
712,Mahajanga,MG,-15.72,46.32,26.0,88,20,1.0,1526155200
713,Minamiashigara,JP,35.32,139.1,17.33,82,75,1.41,1526158560
714,Sambava,MG,-14.27,50.17,24.13,100,92,5.71,1526160169
715,College,US,64.86,-147.8,12.33,27,90,3.1,1526158680
716,Nioro,GM,13.79,-15.05,29.35,50,0,2.21,1526160169
717,Capitao Poco,BR,-1.75,-47.06,26.33,85,80,3.21,1526160170
718,Itupiranga,BR,-5.13,-49.33,26.0,88,20,1.5,1526158800
719,Kyzyl-Suu,KG,42.34,78.0,10.08,99,92,2.01,1526160170
720,Carahue,CL,-38.71,-73.16,14.1,90,92,1.86,1526160171
721,Mamallapuram,IN,12.63,80.17,30.0,84,20,3.6,1526158800
722,Verkhoyansk,RU,67.55,133.39,-5.6,85,80,2.26,1526160171
723,Abay,KZ,49.63,72.87,1.0,86,0,1.0,1526157000
724,Kommunisticheskiy,RU,61.68,64.48,-1.13,73,44,2.66,1526160172
725,Edd,ER,13.93,41.69,25.43,47,0,1.21,1526160173
726,Tipitapa,NI,12.2,-86.1,32.0,55,40,5.1,1526158800
727,Ustye,RU,58.76,27.79,14.03,60,0,4.71,1526160174
728,Byron Bay,AU,-28.65,153.62,12.0,76,0,0.5,1526158800
729,Sulangan,PH,11.14,123.72,27.85,100,32,1.51,1526160174
730,Simpang,MY,4.82,100.71,25.0,94,75,2.1,1526155200
731,Curitiba,BR,-25.43,-49.27,19.03,82,20,3.1,1526158800
732,Keti Bandar,PK,24.14,67.45,28.88,97,0,7.16,1526160176
733,Guatire,VE,10.47,-66.54,29.0,66,20,2.6,1526158800
734,Apatou,SR,5.16,-54.34,24.83,88,80,2.21,1526160176
735,Chumikan,RU,54.72,135.31,-0.5,98,64,1.66,1526160177
736,Xiaoweizhai,CN,26.23,107.51,15.78,97,64,1.06,1526160178
737,Arklow,IE,52.79,-6.14,7.0,87,40,3.6,1526158800
738,Nabire,ID,-3.36,135.5,19.15,97,8,0.51,1526160178
739,Sarkand,KZ,45.41,79.91,15.53,77,80,5.61,1526160179
740,Ziway,ET,7.93,38.72,12.93,62,8,1.91,1526160179
741,Malpe,IN,13.35,74.72,26.0,88,20,1.06,1526158800
742,Sicuani,PE,-14.27,-71.23,12.13,32,80,1.76,1526160180
743,Kudahuvadhoo,MV,2.67,72.89,29.28,100,64,4.46,1526160181
744,Kristiansund,NO,63.12,7.73,8.75,100,0,1.0,1526158200
745,Giddalur,IN,15.38,78.93,22.48,94,0,1.86,1526160181
746,Barstow,US,31.46,-103.39,38.0,6,1,6.2,1526158380
747,Nuevo Progreso,US,26.05,-97.95,32.58,43,40,7.7,1526158020
